,en,vn,thailand,indonesia
report.maximum_stock,SLA Rule: Maximum Contact Remaining,SLA Rule: Maximum Contact Remaining,SLA Rule: Maximum Contact Remaining,SLA Rule: Maximum Contact Remaining
report.get_contact_quantity,SLA Rule: Get Contact Quantity,SLA Rule: Get Contact Quantity,SLA Rule: Get Contact Quantity,SLA Rule: Get Contact Quantity
report.unassign_to,Unassign,Unassign,Unassign,Unassign
package.status_INIT,Init,Khởi tạo,Init,Init
package.status_PUTAWAY,Putaway,"Kiện về kho",Putaway,Putaway
package.status_TRANSPORTING,Transporting,Đang vận chuyển,Transporting,Transporting
package.status_READY_FOR_DELIVERY,Ready for delivery,Chờ giao,Ready for delivery,Ready for delivery
package.status_DELIVERING,Delivering,Đang giao,Delivering,Delivering
package.status_DELIVERED,Delivered,Đã nhận,Delivered,Delivered
package.status_MIA,Mia,Thất lạc,Mia,Mia
package.status_REQUEST_FOR_DELIVERY,Request for delivery,Yêu cầu giao,Request for delivery,Request for delivery
package.status_INACTIVE,Inactive,Ngừng hoạt động,Inactive,Inactive
package.status_WAIT_FOR_RETURN,Wait for return,Chờ trả hàng,Wait for return,Wait for return
package.status_RETURNING,Returning,Đang trả hàng,Returning,Returning
package.status_RETURNED,Returned,Đã trả hàng,Returned,Returned
package.status_WAIT_FOR_LIQUIDATION,Wait for liquidation,Chờ thanh lý,Wait for liquidation,Wait for liquidation
package.status_LIQUIDATED,Liquidated,Đã thanh lý,Liquidated,Liquidated
package.status_REFUSED,Refused,Khách không nhận,Refused,Refused
package.status_IMPORTED,Imported,Đã nhập kho,Imported,Imported
package.status_CANCELED,Canceled,Hủy,Canceled,Canceled
package.status_PAID,Paid,Đã thanh toán,Paid,Paid
package.status_UNPAID,Unpaid,Chưa thanh toán,Unpaid,Unpaid
skuCombo.name_code,Combo Name/ Code,Tên/ Mã combo,Combo Name/ Code,Combo Name/ Code
skuCombo.code,Combo Code,Mã combo,Combo Code,Combo Code
skuCombo.name,Combo Name,Tên combo,Combo Name,Combo Name
skuCombo.add,Add Combo,Thêm Combo,Add Combo,Add Combo
skuCombo.new,New Combo,Thêm Combo,New Combo,New Combo
skuCombo.new_sku,New SKU,Thêm SKU,New SKU,New SKU
skuCombo.category,Category,Loại Combo,Category,Category
skuCombo.detail_title,Detail Combo,Chi tiết Combo,Detail Combo,Detail Combo
skuCombo.title,Combo,Combo,Combo,Combo
skuCombo.create,Create Combo,Tạo Combo,Create Combo,Create Combo
skuCombo.sku_name_code,SKU name/code,Tên/Mã SKU,SKU name/code,SKU name/code
skuCombo.sku_name_code_pl,Search SKU name/code,Tìm kiếm tên/mã SKU,Search SKU name/code,Search SKU name/code
skuCombo.code_pl,Enter Combo Code,Nhập Mã combo,Enter Combo Code,Enter Combo Code
skuCombo.name_pl,Enter Combo Name,Nhập Tên combo,Enter Combo Name,Enter Combo Name
skuCombo.category_pl,Select Category,Chọn Loại Combo,Select Category,Select Category
ad_sku.created_at,Created At,Ngày tạo,Created At,Created At
ad_sku.created_by,Created By,Người tạo,Created By,Created By
ad_sku.added_at,Added At,Ngày thêm,Added At,Added At
ad_sku.added_by,Added By,Người thêm,Added By,Added By
ad_sku.add,Add Sku,Thêm SKU,Add Sku,Add Sku
ad_sku.add_modal,Add Sku,Thêm SKU,Add Sku,Add Sku
ad_sku.ok_text,Add Sku,Thêm SKU,Add Sku,Add Sku
ad_sku.cancel_text,Cancel,Đóng,Cancel,Cancel
ad_sku.message.success,Add sku success,Thêm sku thành công,Add sku success,Add sku success
ad_sku.message.failed,Add sku failed,Thêm sku không thành công,Add sku failed,Add sku failed
ad_sku.remove_sku_modal,Are you sure to do this action,Bạn có chắc chắn muốn thực hiện hành động này,Are you sure to do this action,Are you sure to do this action
ad_sku.remove_ok_text,Ok,Đồng ý,Ok,Ok
ad_sku.message.remove_sku_success,Remove sku success,Xoá sku thành công,Remove sku success,Remove sku success
ad_sku.message.remove_sku_failed,Remove sku failed,Xoá sku không thành công,Remove sku failed,Remove sku failed
ad_sku.action,Action,Thao tác,Action,Action
order_detail.financial_status_FS01,New,Khởi tạo,New,New
order_detail.financial_status_FS02,Shipment In-Progress,Chưa thanh toán,Shipment In-Progress,Shipment In-Progress
order_detail.financial_status_FS03,Accountant Checking,Chờ đối soát,Accountant Checking,Accountant Checking
order_detail.financial_status_FS04,Accountant Checked,"Đã đối soát, chờ thanh toán",Accountant Checked,Accountant Checked
order_detail.financial_status_FS05,Paid,Đã thanh toán,Paid,Paid
order_detail.financial_status_FS06,Cancelled,Đã hủy,Cancelled,Cancelled
order_detail.financial_status,Financial status,Trạng thái tài chính,Financial status,Financial status
order.import_financial,Financial Status Update,Cập nhật trạng thái tài chính,Financial Status Update,Financial Status Update
order.financial_status_placeholder,Select financial status of order,Chọn trạng thái tài chính đơn hàng,Select financial status of order,Select financial status of order
package.import,Import Package,Nhập file sản phẩm,Import Package,Import Package
package.download_sample_file_here,Download sample file here,Tải file mẫu tại đây,Download sample file here,Download sample file here
package.maximum_file_limit,Maximum file limit,File giới hạn tối đa,Maximum file limit,Maximum file limit
package.maximum_file_size,Maximum file size,Dung lượng file tối đa,Maximum file size,Maximum file size
package.download_template,Download Template,Download Template,Download Template,Download Template
order.upload_file_less_than,Uploading file size must be less than 5Mb,Kích thước tệp tải lên phải nhỏ hơn 5Mb,Uploading file size must be less than 5Mb,Uploading file size must be less than 5Mb
order.maximum_file_lines,Maximum file lines,Maximum file lines,Maximum file lines,Maximum file lines
order.order_source,Order Source,Nguồn đơn,Order Source,Order Source
order.type_telesales,Telesales,Đơn thường,Telesales,Telesales
order.type_manual,Manual Created,Đơn thủ công,Manual Created,Manual Created
order.type_imported,Excel Imported,Đơn tạo bằng excel,Excel Imported,Excel Imported
inventory.product_sku_detail,Product SKU Detail,Thông tin sản phẩm,Product SKU Detail,Product SKU Detail
inventory.product_sku_code,Product SKU Code,Mã sản phẩm,Product SKU Code,Product SKU Code
inventory.product_sku_name,Product SKU Name,Tên sản phẩm,Product SKU Name,Product SKU Name
inventory.product_category,Product Category,Phân loại,Product Category,Product Category
inventory.safety_stock_level,Safety Stock Level,Mức tồn kho an toàn,Safety Stock Level,Safety Stock Level
inventory.transport_services,Transport Services,Dịch vụ vận chuyển,Transport Services,Transport Services
inventory.service,Service,Dịch vụ,Service,Service
inventory.gross_weight,Gross Weight,Cân nặng,Gross Weight ,Gross Weight
inventory.dimension,Dimension,Kích thước,Dimension,Dimension
inventory.length,Length,Chiều dài,Length,Length
inventory.width,Width,Chiều rộng,Width,Width
inventory.height,Height,Chiều cao,Height,Height
inventory.warehouse_import_service,Warehouse Import Service,Dịch vụ nhập kho,Warehouse Import Service,Warehouse Import Service
inventory.warehousing_service,Warehousing Service,Dịch vụ lưu kho,Warehousing Service,Warehousing Service
inventory.warehouse_export_service,Warehouse Export Service,Dịch vụ xuất kho,Warehouse Export Service,Warehouse Export Service
inventory.returning_warehouse_import_service,Retuning Warehouse Import Service,Dịch vụ nhập hoàn,Retuning Warehouse Import Service,Retuning Warehouse Import Service
inventory.estimated_fee,Estimated Fee,Chi phí ước tính,Estimated Fee,Estimated Fee
inventory.estimated_total_fee,Estimated Total Fee,Tổng ước tính,Estimated Total Fee,Estimated Total Fee
inventory.reason_detail,Detail,Lý do,Detail,Detail
inventory.excel_export,Excel Export,Xuất file excel,Excel Export,Excel Export
inventory.history,Inventory History,Lịch sử tồn kho,Inventory History,Inventory History
inventory.detail_title,Inventory Detail,Chi tiết tồn kho,Inventory Detail,Inventory Detail
inventory.action,Action,Hành động,Action,Action
inventory.quantity,Quantity,Thay đổi,Quantity,Quantity
order_financing.title,Order Financing,Tài chính đơn hàng,Order Financing,Order Financing
order_financing.total_order_amount,Total Order Amount,Tổng giá trị đơn hàng,Total Order Amount,Total Order Amount
order_financing.total_received_cod,Total Received COD,COD Thu được,Total Received COD,Total Received COD
order_financing.total_fee,Total Fee,Tổng các chi phí,Total Fee,Total Fee
order_financing.balance,Balance,Còn lại,Balance,Balance
order_financing.order_amount,Order Amount,Giá trị đơn hàng,Order Amount,Order Amount
order_financing.received_cod,Received COD,COD đã thu được,Received COD,Received COD
order_financing.charged_weight,Charged Weight,Cân nặng tính phí,Charged Weight,Charged Weight
order_financing.finnacial_information,Financial Information,Thông tin tài chính,Financial Information,Financial Information
order_financing.packaging_fee,Packaging Fee,Phí đóng gói,Packaging Fee,Packaging Fee
order_financing.cod_fee,COD Fee,Phí COD,COD Fee,COD Fee
order_financing.transporting_fee,Transporting Fee,Phí vận chuyển,Transporting Fee,Transporting Fee
order_financing.other_logistics_fee,Other Logistics Fee,Chi phí kho vận khác,Other Logistics Fee,Other Logistics Fee
ortder_financing.warehouse_returning_fee,Warehouse Returning Fee,Chi phí nhập hoàn,Warehouse Returning Fee,Warehouse Returning Fee
order_financing.purchasing_fee,Purchasing Fee,Phí mua hộ,Purchasing Fee,Purchasing Fee
order_financing.operation_fee,Operation Fee,Phí vận hành,Operation Fee,Operation Fee
order_financing.amount,Amount,Đơn vị tiền tệ,Amount,Amount
order_payment.confirmation,Payment Confirmation,Xác nhận thanh toán,Payment Confirmation,Payment Confirmation
order_payment.method,Payment Method,Phương thức thanh toán,Payment Method,Payment Method
order_payment.cod,COD (Cash On Delivery),Trả tiền khi nhận hàng,COD (Cash On Delivery),COD (Cash On Delivery)
order_payment.pre_paid_by_cash,Prepaid by Cash,Trả trước bằng tiền mặt,Prepaid by Cash,Prepaid by Cash
order_payment.pre_paid_by_bank,Prepaid by Bank Transfer,Trả trước bằng chuyển khoản,Prepaid by Bank Transfer,Prepaid by Bank Transfer
order_payment.pre_paid_amount,Prepaid Amount,Số tiền đã thanh toán,Prepaid Amount,Prepaid Amount
order_payment.date,Payment Date,Ngày thanh toán,Payment Date,Payment Date
order_payment.note,Payment Note,Ghi chú thanh toán,Payment Note,Payment Note
order_payment.bank,Bank,Tên ngân hàng,Bank,Bank
order_payment.bank_account_number,Bank Account Number,Số tài khoản ngân hàng,Bank Account Number,Bank Account Number
order_payment.cod_confirmation,Customer confirmed to pay by cash on delivery,Xác nhận khách trả tiền khi nhận hàng (COD),Customer confirmed to pay by cash on delivery,Customer confirmed to pay by cash on delivery
